id,prompt,A,B,C,D,E,answer
11,Which dating technique is used to date organic materials?,Radiocarbon dating,Dendrochronology,Thermoluminescence dating,Optically stimulated luminescence,Potassium-argon dating,A
12,What is the main focus of environmental approaches in archaeological science?,Past landscapes and climates,Artifact composition,Provenance determination,Dendrochronology,Radiocarbon dating,A
13,Which technique is used to measure photons discharged from grains of quartz within sedimentary bodies?,Optically stimulated luminescence,Thermoluminescence dating,Electron spin resonance,Radiocarbon dating,Dendrochronology,A
14,What is the main goal of archaeological science according to Martinón-Torres and Killick?,Promoting high-level theory in archaeology,Falsification and search for causality,Analysis of archaeological materials and sites,Development of new methods of conservation,Application of specific techniques to archaeological materials,A
15,What is Tygon?,A brand of flexible polymer tubing,A type of specialized fluid transfer equipment,A registered trademark of Saint-Gobain Corporation,A trade secret material used in chemical processing,A word invented by Saint-Gobain,A
16,Who portrayed the character Jane Foster in the Marvel Cinematic Universe?,Scarlett Johansson,Elizabeth Olsen,Natalie Portman,Gwyneth Paltrow,Zoe Saldana,C
17,What is the purpose of a sundial?,To measure the length of shadows,To track the position of the Sun in the sky,To determine the time of day,To indicate the seasons,To predict solar eclipses,C
18,What is the definition of marketing engineering?,A systematic approach to harness data and knowledge to drive effective marketing decision making and implementation through a technology-enabled and model-supported decision process,The use of computer decision models for making marketing decisions,"The development of a mental model of the decision situation based on past experience, intuition, and reasoning",A process that involves multiple individuals making subjective judgments based on their position in the firm's hierarchy,A method of marketing that relies solely on past experience and intuition,A
19,What is bacterial therapy?,The therapeutic use of bacteria to treat diseases,The use of bacteria to enhance immune response,The use of bacteria to diagnose diseases,The use of bacteria to image the body,The use of bacteria as delivery vehicles for treatment,A
20,"What is one of the main findings of ""Global Strategic Trends out to 2040?""",Increased resource scarcity,Decline in global power,Stability in relations between states,Decreased population growth,Absence of ideology resurgence,A
21,Who is credited with being one of the first engineers to apply engineering principles to improve sports equipment?,Issac Newton,Howard Head,Albert Einstein,Isaac Asimov,Nikola Tesla,B
22,What is a resist?,A substance added to create a pattern,A type of dye used in resist dyeing,A method used in pottery to create patterns,A technique used in watercolor painting,A resist used in manufacturing and art,A
23,What are suffering risks (s-risks)?,Events that have the potential to cause immense suffering,Events that necessarily involve death,Events that only occur on Earth,Events that are caused by wild animals,Events that are prevented by space colonization,A
24,What is a technical standard?,A formal document that establishes uniform engineering or technical criteria,A custom or convention that becomes generally accepted and dominant,An established norm or requirement for a repeatable technical task,A specification for a turbine blade for a jet engine,A definitive procedure that produces a test result,C
25,What is combinatorial physics?,The application of combinatorial and discrete mathematical techniques to theoretical physics,The study of physical phenomena using combinatorial methods,The exploration of the interaction between combinatorics and physics,The use of algebraic concepts to interpret physical problems involving combinatorics,The development of mathematical models for physical systems,A
26,What are kanban boards used for?,Managing work at a personal or organizational level,Visualizing the flow of work across a value stream map,Identifying bottlenecks and overcommitments,Organizing software development teams,Coordinating teams performing the work,B
27,What term is often used to describe the partitioning of molecular constituents to defects from solid solutions?,Segregation,Adsorption,Phase separation,Precipitation,Particle segregation,A
28,What is Rensch's rule?,A rule concerning the relationship between sexual size dimorphism and which sex is larger,A rule proposed by Bernhard Rensch in 1950,A rule that applies to all species,A rule that explains the correlation between body size and male-male competition,A rule that has been extensively tested on parasites,A
29,What is the development model that Intel adopted in 2016 for CPUs?,Tick-tock model,Microarchitecture change,Process-architecture-optimization model,Die shrink model,Economically sustainable model,C
30,What are some examples of tracking systems?,Bar-code systems,RFID auto-id systems,GPS systems,All of the above,None of the above,D
31,What is the historical association of biotechnology?,Development of drugs,Addressing malnutrition and famine,Brewing techniques for beer,Industrial fermentation,Genetic engineering,D
32,What are some main areas of supply chain engineering?,Authentication and tracking,Financing,Forecasting for demand,Warehousing and inventory management,Pricing,E
33,"What is the ""flying syringe""?",A method of injecting vaccines into people through mosquitos,A phrase used to refer to genetically modified mosquitoes,A term for syringes that can fly,A proposed invention for delivering vaccines through the air,A term for mosquitos that inject vaccines into people,B
34,Who created the character Morbius the Living Vampire?,Gil Kane,Roy Thomas,Stan Lee,Steve Ditko,Joe Simon,B
35,In which comic book did Morbius first appear?,The Amazing Spider-Man #101,Morbius the Living Vampire #1,Spider-Man: The Animated Series #1,Marvel Team-Up #3,Web of Spider-Man #1,A
36,What was the original role of Morbius in relation to Spider-Man?,Ally,Sidekick,Villain,Mentor,Love interest,C
37,Which crossover event revived and revised Morbius as a lead protagonist?,Civil War,Secret Wars,Infinity Gauntlet,Rise of the Midnight Sons,Age of Apocalypse,D
38,"In the series ""Morbius the Living Vampire,"" how was the title character portrayed?",As a tragic anti-hero,As a superhero,As a villain,As a sidekick,As a love interest,A
39,What is the Nadal formula used for in railway design?,Calculating the downward force exerted by a train's wheels upon the rail,Calculating the coefficient of friction between the wheel and the rail,Determining the appropriate rail profile for a wheelset,Preventing wheel-climb derailments,Calculating the lateral force of the wheel's flange against the face of the rail,E
40,What is the purpose of the attitude indicator (AI)?,To provide information about the aircraft orientation relative to Earth's horizon,To measure the inclination of the aircraft in degrees and radians,To navigate using celestial navigation techniques,To indicate the smallest orientation change,To display the aircraft's speed and altitude,A
41,What is the term used to describe the proposed class of living organisms that are now discredited?,Ultramicrobacteria,Nanobacteria,Calcifying nanoparticles,Mycoplasma,Radiolabeled uridine,B
42,When was the UKM Medical Molecular Biology Institute (UMBI) officially established?,2003,2009,2017,2018,2019,A
43,What is the main focus of Cymdeithas Edward Llwyd?,Organizing country walks throughout Wales,Promoting Welsh language learning,Collecting and documenting natural species,Conservation work in Wales,Studying Welsh toponymy,C
44,What is Schoenflies displacement named after?,Arthur Moritz Schoenflies,SCARA manipulator,Articulated robot,Parallel manipulator,Delta robot,A
45,What is agricultural engineering?,The field of study and application of engineering science and design principles for agriculture purposes,The study of farming and agricultural science,The practice of irrigation in large-scale agriculture,The introduction of mechanical harvesters and planters in the food and cash crop industries,The design and construction of large irrigation structures,A
46,What is the mathematical notation I=(PAT) used for?,To describe the impact of human activity on the environment,To calculate population growth,To measure the affluence of a population,To determine the technological advancements in a society,To analyze political and social structures,A
47,"Who first conceived the term ""trancitor"" and its concept?",Sungsik Lee,An unknown engineer,MIT Technology Review,Pusan National University,IEEE Access,A
48,What are the consequences of running an engine too fast?,Greatly reduced engine life,Catastrophic failure,No consequences,Improved engine performance,Increased fuel efficiency,A
49,"What is the focus of the book ""Archaeology, Anthropology, and Interstellar Communication""?",The role of natural science in the search for extraterrestrial intelligence,The role of archaeology and anthropology in the search for extraterrestrial intelligence,The history of the search for extraterrestrial intelligence,The potential nature of alien intelligences,The technological obstacles to alien communication,B
50,What is physical science?,The study of non-living systems,The study of living systems,The study of celestial objects,The study of matter and energy,The study of natural phenomena,A
51,Who invented the Railveyor system?,Mike Dibble,Risto Laamanen,Harmony Gold,Vale S.A.,Florida Institute of Phosphate Research,A
52,What is the X axis of the scale cube model?,Scaling a technology solution through multiple instances of the same component,Scaling a technology solution by separating a monolithic application into services,Scaling a technology solution by separating components along similar boundaries,Scaling a technology solution by replicating a data set,Scaling a technology solution by segmenting along service boundaries,A
53,What is heritage science?,The interdisciplinary study of cultural and natural heritage,The study of historical artifacts,The study of human works of art,The study of scientific conservation techniques,The study of archaeology,A
54,Who developed the first transparent sticky tape?,Richard Drew,Auto-engineers,3M engineer,Scotch Tape,Cellophane,A
55,What is Eugene Podkletnov known for?,Designing and demonstrating gravity shielding devices,Creating ceramic superconducting materials,Developing new materials for the University of Chemical Technology,Expelling from Tampere University of Technology,Working at Tamglass Engineering Oy,A
56,What is the purpose of introsort algorithm?,To provide fast average performance and optimal worst-case performance,To provide fast average performance but not optimal worst-case performance,To provide optimal worst-case performance but not fast average performance,To provide neither fast average performance nor optimal worst-case performance,To provide only fast average performance,A
57,What is the difference between applied science and basic science?,"Applied science focuses on practical goals, while basic science focuses on advancing scientific theories and laws","Applied science focuses on advancing scientific theories and laws, while basic science focuses on practical goals","Applied science does not use the scientific method, while basic science relies heavily on it","Applied science is limited to engineering and medicine, while basic science includes a broad range of disciplines","Applied science is solely based on formal science, while basic science is based on social science",A
58,What services does the United States Department of Veterans Affairs provide?,Healthcare services,Financial assistance for veterans,Employment opportunities for veterans,Legal services for veterans,Housing assistance for veterans,A
59,When was the Veterans Administration established?,1776,1865,1930,1982,1989,C
60,What is the role of the Secretary of Veterans Affairs?,Overseeing the national cemeteries,Managing the VA medical centers,Providing financial aid to veterans,Leading the Department of Veterans Affairs,Implementing vocational rehabilitation programs,D
61,How many people are employed by the VA as of June 2020?,"412,892",170,135,273 billion,106.5 billion,A
62,What were the net program costs for the VA in Fiscal Year 2016?,$273 billion,$106.5 billion,Hundreds of millions,Unknown,Not mentioned,A
63,What is the defining functional effect of predictive analytics?,Identifying risks and opportunities in business,Creating predictive models based on historical data,Applying machine learning to generate a predictive model,Using statistical techniques to analyze current and historical facts,Predicting behavior and events using large volumes of data,E
64,What is the purpose of applied economics?,To enhance the quality of business practices and national policy making,To study the application of economic theory in specific settings,To analyze historical analogies and common sense,To reduce the level of abstraction of economic theory,To estimate empirical data using econometrics,A
65,What is the main difference between chemistry and physics?,Chemists study matter on a smaller scale than physicists,Chemists focus on fundamental principles of physical phenomena,Chemists are trained differently than physicists,Chemists study matter composed of electrons and nuclei,Chemists are not concerned with dark matter,C
66,Which automotive manufacturers have used the Dana/Spicer Model 70 axle in their heavy-duty applications?,"Chevrolet, Dodge, and Ford","Chevrolet, Dodge, and GMC","Chevrolet, Ford, and GMC","Dodge, Ford, and GMC","Dodge, Ford, and Toyota",A
67,What was the historical purpose of home economics courses?,To professionalize housework,To prepare women for traditional roles,"To emphasize the value of ""women's work"" in society",To provide intellectual fulfillment for women,All of the above,E
68,What is the subject coverage of Chemical Engineering and Biotechnology Abstracts (CEABA-VTB)?,Engineering and management,Manufacturing plants and equipment,Mathematical methods and modeling,Production processes and process development,All of the above,E
69,What are impedance parameters used for in electrical engineering?,To describe the electrical behavior of linear electrical networks,To describe the behavior of non-linear networks,To calculate open-circuit conditions,To describe the behavior of black box networks,To calculate the small-signal response of networks,A
70,What is a technical report?,"A document that describes the process, progress, or results of technical or scientific research or the state of a technical or scientific research problem.",A document that provides recommendations and conclusions of the research.,A document that undergoes comprehensive independent peer review before publication.,A document that is considered as grey literature.,A document that follows formal publishing procedures.,A
71,What are examples of bioactive agents?,Water and air,Enzymes and drugs,Rocks and minerals,Plants and animals,Metals and chemicals,B
72,What is Augustine's most cited law?,Defense budgets grow linearly,The unit cost of a new military aircraft grows exponentially,The entire defense budget will purchase just one tactical aircraft in the year 2054,The Air Force and Navy will share the tactical aircraft 3½ days each per week,The tactical aircraft will be made available to the Marines for an extra day in leap year,C
73,What is the aim of the Riesel Sieve project?,To find the smallest Riesel number,"To eliminate all k smaller than 509,203","To find a prime of the form k × 2n − 1 for all odd k smaller than 509,203","To prove that 509,203 is not a prime number",To find the largest prime number,C
74,What is ChIP-seq primarily used for?,Identifying the binding sites of DNA-associated proteins,Determining the sequence of DNA-binding proteins,Analyzing protein-DNA interactions in vitro,Studying the structure of chromatin,Detecting genetic mutations in DNA,A
75,What is the purpose of clearance in civil engineering?,To determine the width/height of doors,To establish a difference between loading gauge and structure gauge,To specify the maximum size rolling stock when not running,To measure the air draft under a bridge,To determine the width/height of a lock,B
76,When was the Somerset Archaeological and Natural History Society founded?,1849,1851,1874,1884,1908,A
77,What is engineering law? ,The study of how engineering ethics and legal frameworks are adopted to ensure public safety surrounding the practice of engineering. ,"The study of how engineering principles are applied in the planning and design of public or private utilities, structures, machines, processes, circuits, buildings, equipment or projects.","The study of how engineering education, training, and experience are regulated by legal frameworks. ",The study of how engineering laws differ between different states in North America.,The study of how engineering work is supervised and evaluated by professional engineering boards.,A
78,What does SAMPL stand for?,Stochastic AMPL,Structured AMPL,Special AMPL,Scenario-based AMPL,Systematic AMPL,A
79,What does civil engineering primarily deal with?,Designing and constructing physical infrastructure,Developing software applications,Researching new medical treatments,Creating art and music,Designing fashion clothing,A
80,What is the second-oldest engineering discipline?,Civil Engineering,Mechanical Engineering,Electrical Engineering,Chemical Engineering,Aerospace Engineering,A
81,What was one of the earliest examples of a scientific approach to physical and mathematical problems in civil engineering?,Archimedes' principle,Newton's laws of motion,Einstein's theory of relativity,Darwin's theory of evolution,Boyle's law,A
82,What field is civil engineering linked to?,Geography,Psychology,Sociology,Political Science,Philosophy,A
83,Since when has engineering been a part of human existence?,Since the beginning of human existence,Since the Renaissance period,Since the Industrial Revolution,Since the Information Age,Since the Space Age,A
84,When was the Overseas Automotive Council founded?,1923,1960,1992,1921,1950,A
85,What is the purpose of an Air Data Inertial Reference Unit (ADIRU)?,To supply air data and inertial reference information to pilots and other aircraft systems,To act as a redundant unit for air and inertial reference data,To store navigational data for both pilots of an aircraft,"To display airspeed, angle of attack, and altitude to the pilots",To remotely mount air data modules (ADMs),A
86,Who was Marcus Manuel Hartog?,English educator,Natural historian,Philosopher of biology,Zoologist,All of the above,E
87,What is the definition of albedo in astronomy?,The measure of a star's absolute brightness,A circular mass of material in orbit around a central object,A compact region in the center of a galaxy with high luminosity,The proportion of solar radiation reflected by an astronomical body,The measure of temperature of A-type stars,D
88,What are the two dimensions of the Hayes-Wheelwright Matrix?,Product customization and market size,Process standardization and unit costs,Product lifecycle and process lifecycle,Product positioning and manufacturing process,Product structure and process structure,C
89,What is agronomy?,"The science and technology of producing and using plants by agriculture for food, fuel, fiber, chemicals, recreation, or land conservation",The study of animal genetics and physiology,"The research of plant genetics, plant physiology, meteorology, and soil science","The application of a combination of sciences such as biology, chemistry, economics, ecology, earth science, and genetics",The study of soil composition and structure,A
90,What is the study of arithmetic semigroups as a means to extend notions from classical analytic number theory called?,Abstract analytic number theory,Absolute differential calculus,Absolute geometry,Abstract algebra,Abstract differential geometry,A
91,What is Macaulay's method used for?,Determining the deflection of Euler-Bernoulli beams,Calculating the speed of an object,Controlling movement in machines,Programming a computer's CPU,Monitoring performance in mechanical systems,A
92,Which companies are clients of Vention?,"Toyota, General Electric, Tesla, Siemens, and Airbus","Google, Amazon, Boeing and Lockheed","White Star Capital, Bolt, and Real Ventures",Etienne Lacroix and Max Windisch,"Montreal, Canada, Berlin, Germany, and Boston, Massachusetts",A
93,What is one of the main dimensions proposed in the emotions field to characterize affective experiences?,Social and personal,Arousal and valence,Cognitive and behavioral,Physiological and psychological,Genetic and environmental,B
94,What is the purpose of a README file in software development?,To provide installation instructions,To list known bugs,To document the history of the software,To provide troubleshooting instructions,To include a changelog,A
95,What is sperm precedence?,The tendency of a female to give birth to multiple males offspring,A factor in sperm competition,The preference for the male whose sperm are the most motile,The preference for the male whose sperm were delivered closest to the female’s ova,The tendency of a female to give birth to their offspring in unequal proportions,E
96,What is the main difference between automation via cams and numerical control?,Cams require manual process while numerical control uses programming languages,Cams can encode information while numerical control cannot,Cams are more advanced than numerical control,Numerical control requires machining while cams do not,Numerical control is a manual process while cams use programming languages,A
97,What are the three broad categories of conservation science with respect to cultural heritage?,Understanding the materials and techniques used by artists,Study of the causes of deterioration,Improving methods/techniques and materials for examination and treatment,Understanding the social and cultural contexts of artistic works,Exploring the economic value of cultural heritage,A
98,What is technology assessment?,The evaluation of new technologies against existing technologies,Determining the value of a new or emerging technology,The study and evaluation of new technologies,Assessing the consequences of technology applications,The analysis of the significance of technological advancements,C
99,What is one aspect of sustainable engineering?,Water supply,History of engineering,Artificial intelligence,Music production,Fashion design,A
100,Which engineering discipline is engaged in sustainable design?,Civil engineering,Aerospace engineering,Mechanical engineering,Chemical engineering,Electrical engineering,A
101,What policy and regulatory innovation has been tested in sustainable engineering?,Cap and trade,Command and control,Stack-by-stack approach,Pipe-by-pipe approach,Bubble approach,A
102,What is one common focus of sustainable engineering?,Food production,Film production,Sports management,Graphic design,Marketing,A
103,What are some initiatives employed in sustainable design?,Life cycle analysis,Political science,Psychology,Journalism,Architecture,A
104,What is control engineering?,An engineering discipline that deals with control systems and applies control theory to design equipment and systems with desired behaviors,A field of study that focuses on the implementation of control systems mainly derived by mathematical modeling,A practice that uses sensors and detectors to measure the output performance of a controlled process,An interdisciplinary field that overlaps with electrical engineering and mechanical engineering,All of the above,E
105,What is one of the mechanisms by which gases can be produced from materials in a vacuum chamber?,Adsorption of gases and water on the material surface,Sublimation of certain metals and alloys,Release of gases from porous materials or cracks,Presence of traces of lubricants or residues from machining,Outgassing of solvents absorbed in plastics after cleaning,A
106,What is the concept of a macroscope in science?,A method or system for studying very large objects or complex processes,A type of microscope used for imaging specimens at magnifications greater than their original size,"A tool for viewing various forms of ""big data"" in the humanities",A system or instrument that currently exists to study the Earth and the Universe,A method or compendium for viewing specific aspects of global scientific phenomena,A
107,What are the key concepts that differentiate ecological engineering from other approaches?,It is based on the self-designing capacity of ecosystems,It relies on system approaches,It conserves non-renewable energy sources,It supports ecosystem and biological conservation,It utilizes ecological science and theory,A
108,What was the purpose of the Midland Union of Natural History Societies?,To promote the study of natural history in the English Midlands and central Wales,To publish a journal called The Midland Naturalist,To award the Darwin Prize,To advocate for the preservation of native plants,To investigate the formation of local natural history societies,A
109,What is the Copenhagen interpretation of quantum mechanics?,The observer plays a central role in quantum phenomena,The observer has no influence on quantum phenomena,The observer is necessary to define the properties of quantum objects,The observer is a physical process,The observer must have special qualifications or constraints,D
110,What is manufacturing engineering?,The field of engineering that designs and optimizes the manufacturing process,The process of selling finished goods to end users and consumers,The creation or production of goods using labor and tools,The process of transforming raw materials into a final product,The process of fabricating and integrating a product's components,A
111,What is a tensor in mathematics?,A mapping between different objects such as vectors,An algebraic object used to describe multilinear relationships,A high-dimensional matrix,A concise mathematical framework for solving physics problems,A scalar or vector,B
112,Who is the inventor of the ROBOTY robot?,Hamdi M. Sahloul,Yemen TV Channel,Almasdar Online,Al-Sahwa,Al-Moheet,A
113,What is the most significant seismological event to have occurred in Central Europe in recorded history?,The 1356 Basel earthquake,The Sankt-Lukas-Tag Erdbeben,The foreshock,The seismic crisis,The overlapping faults on the Jura Front,A
114,What is a modular design?,A design principle that subdivides a system into smaller parts called modules,A design principle that combines multiple systems into a single unit,A design principle that focuses on making systems more complex,A design principle that eliminates the need for interfaces between components,A design principle that has no distinct lifetime and exhibits flexibility in multiple dimensions,A
115,What are the key concepts of complexity theory and organizations?,"Self-organization, complexity, emergence","Order, chaos, interdependence","Uncertainty, non-linearity, feedback loops","Adaptation, mutation, micro-events","Networks of interactions, aggregations, static entities",A
116,What is the main purpose of Adversarial Design?,To express and enable agonism,To support the means of governance,To promote consensus and agreement,To create spaces of contestation,To discourage political expression,A
117,What is an oncolytic virus?,A virus that preferentially infects and kills cancer cells,A virus that preferentially infects and kills healthy cells,A virus that causes cancer cells to mutate,A virus that stimulates the growth of cancer cells,A virus that has no effect on cancer cells,A
118,What is the main focus of geological engineering?,Assessing the suitability of locations for civil engineering projects,Designing and implementing geotechnical data acquisition,Conducting impact studies for mining operations,Performing hydrogeological and environmental studies,Analyzing past and future ground behavior,A
119,What are some applications of microphone arrays?,Environmental noise monitoring,Recording music albums,Detecting earthquakes,Measuring temperature,Tracking wildlife,A
120,What are the major subareas of mathematical logic?,"Number theory, algebra, and geometry","Model theory, proof theory, set theory, and recursion theory","Calculus, probability theory, and statistics","Topology, analysis, and differential equations","Graph theory, combinatorics, and optimization",B
121,What is the goal of the GP-Write project?,To develop technologies for the synthesis and testing of genomes,To automate workflows for whole genome design,To construct and test yeast artificial chromosomes,To create a complete haploid copy of the human genome,"To improve the cost, quality, and interpretation of human genome sequencing",A
122,Who is the current editor-in-chief of Translational Behavioral Medicine?,Bonnie Spring,Sherry Pagoto,Cheryl L.,Rodger Kessler,Brian Oldenburg,C
123,"According to the Redshift theory, applications ""redshift"" when they grow dramatically faster than Moore's Law allows, growing quickly in their absolute number of systems. In these markets, customers are running out of what?","Datacenter real-estate, power and cooling infrastructure",Internet bandwidth and server capacity,Qualified IT professionals,Financial resources to invest in technology,Access to high-speed internet,A
124,What are CTQ trees used for?,To measure customer satisfaction,To prioritize customer requirements,To define upper and lower specification limits,To decompose broad customer requirements,"To elicit quality, service, and performance data",D
125,What is the definition of prefabrication?,The practice of assembling components of a structure in a factory and transporting them to the construction site,The process of manufacturing and preassembly of building components before their shipment and installation,The manufacturing of things other than structures at a fixed site,The practice of fabricating electrical or electronic components of a machine,"The process of transporting bricks, timber, cement, sand, steel, and construction aggregate to a construction site",B
126,What is the main purpose of a reboiler in a distillation column?,To generate vapors to drive distillation separation,To remove heat from the column,To condense the vapor at the top of the column,To supply liquid to the column bottom,To provide heat to the top of the column,A
127,What is the main application area of civionics?,Integrating science and technology from new and traditional disciplines,Structural health monitoring of civil structures,Optimizing design techniques in civil engineering,Developing innovative structures and materials,Wireless sensor network,B
128,Which gene is activated by the maternal Bicoid morphogen gradient and determines the anterior-posterior axis within the syncytial blastoderm?,Hunchback,Krüppel,Knirps,Giant,Bicoid,A
129,What is the purpose of the article mentioned in the description?,To compare different orbital launch systems,To list all active and under-development launcher families,To provide a history of retired launcher families,To analyze the cost of different launcher families,To compare rocket engines used in orbital launch systems,A
130,Who named the island Christmas Harbour?,Yves Joseph de Kerguelen de Trémarec,Raymond Rallier du Baty,James Cook,Edgar Allan Poe,Valery Larbaud,C
131,What is PFIF an open data standard for?,Weather data,Information about missing or displaced people,Financial transactions,Medical records,Social media posts,B
132,What is the purpose of kanban in lean manufacturing?,To improve manufacturing efficiency,To track production within a factory,To establish an upper limit on work in process inventory,To measure lead time and cycle time,To avoid overcapacity,A
133,What is Milorganite?,A brand of biosolids fertilizer produced from sewage sludge,A type of organic matter used in wastewater treatment,"A wastewater treatment facility in Milwaukee, Wisconsin",A heat-drying process used to kill pathogens in sewage sludge,A portmanteau term for Milwaukee Organic Nitrogen,A
134,"What is the book ""Chasing Kangaroos: A Continent, a Scientist, and a Search for the World's Most Extraordinary Creature"" about?",The weather patterns in Australia,The history of Australian kangaroos,The travels and research of Professor Tim Flannery,The environmental issues in Australia,The different species of kangaroos,C
135,What is the typical design of a single-ended recuperative (SER) burner?,Tubular shape with convoluted pathways,Cylindrical shape with straight pathways,Rectangular shape with zigzag pathways,Spherical shape with spiral pathways,Conical shape with parallel pathways,A
136,What are some methods commonly used in criminal investigations?,Interrogations and evidence collection,Interviews and forensic science,Evidence preservation and private investigation,Searching and interrogations,Interviews and evidence collection,E
137,What is the name commonly used to refer to the load-carrying bicycle created by Xtracycle?,Xtrabike,Xtra,X,Longtail,Longbike,C
138,What is the main function of Cas9 protein?,To cut DNA and alter a cell's genome,To protect bacteria against DNA viruses and plasmids,To unwind foreign DNA and check for sites complementary to the guide RNA,To cleave invading bacteriophage DNA or plasmid DNA,To memorize and later interrogate foreign DNA,A
139,What is the main benefit of agroinfiltration compared to traditional plant transformation?,Faster and more convenient,Higher and more consistent yields of recombinant protein,Allows for expression of multiple genes simultaneously,Results in permanent genetic modification of the plant,Enables transfer of genes between different plant species,A
140,What is the time and space complexity of building a generalized suffix tree for a set of strings?,O(n),O(m+z),Θ(n),O(n+m),Θ(m+z),C
141,What did Thomas Townsend Brown initially believe he had discovered?,A connection between strong electric fields and gravity,A type of antigravity effect,The Biefeld-Brown effect,Electrohydrodynamics,Ionic drift,B
142,What is the goal of the European Innovation Council (EIC)?,"To support the commercialization of low-risk, low-impact technologies",To provide funding for large corporations,"To aid researchers, start-ups, and SMEs bring their innovations to market",To promote scientific research in Europe,To provide networking opportunities for innovators,C
143,What is the distinction between geometry and topology?,"Geometry has local structure, while topology has global structure","Geometry has continuous moduli, while topology has discrete moduli","Geometry focuses on metric spaces, while topology focuses on topological spaces","Geometry is a branch of algebraic topology, while topology is a branch of differential geometry","Geometry deals with smooth manifolds, while topology deals with symplectic manifolds",A
144,"What is the main theme of the novel ""Chasm City""?",Time travel and paradoxes,Love and romance,"Identity, memory, and immortality",Exploration and colonization of space,War and conflict,C
145,What is the purpose of a rapier loom?,To carry the filling yarn through the shed of warp yarns,To supply the weft yarns in the machine,To control the movement of the rapier,To weave wider widths of fabric,To retract the rapier after each pick,A
146,What is a dwarf nova?,A type of cataclysmic variable star,A type of supernova,A type of red giant star,A type of pulsar,A type of black hole,A
147,What are some areas of specialization in engineering science and mechanics?,aerodynamics,biomechanics,data mining,nonlinear dynamics,solar-energy-harvesting materials,C
148,Which university offers a graduate program in engineering science and mechanics?,Pennsylvania State University,Georgia Institute of Technology,University of Alabama,Virginia Polytechnic Institute and State University,All of the above,E
149,Which country was one of the top countries for investment in renewable energy in recent years?,China,Germany,Spain,United States,Italy,A
150,What is a bioactive terrarium?,A terrarium that includes live plants and small invertebrates to break down waste,"A terrarium made of PVC, wood, glass, and/or acrylic",A terrarium used to house reptiles and amphibians,A terrarium that requires regular cage cleaning,A terrarium that is aesthetically pleasing and enriched,A
151,What is the Segre classification primarily used for in general relativity?,Classifying exact solutions,Classifying rank two symmetric tensors,Classifying energy-momentum tensor,Classifying Ricci tensor,Classifying Jordan normal form,A
152,When was the Worshipful Company of Clockmakers established?,1631,1813,1874,2014,2015,A
153,What is hyperscale computing?,The ability of an architecture to scale as demand increases,"The ability to seamlessly provide and add compute, memory, networking, and storage resources","The ability to build a robust and scalable cloud, big data, map reduce, or distributed storage system","The ability to run large distributed sites such as Google, Facebook, Twitter, Amazon, Microsoft, IBM Cloud or Oracle",The ability to supply Hyperscale Cloud Server technologies to hyperscalers,B
154,What is the main purpose of target costing?,To determine a product's life-cycle cost,To develop specified functionality and quality,To ensure the desired profit,To set a competitive market price,To decompose the target cost from product level to component level,C
